Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Roof Shape,Roof Angle,Footprint m2,Type Tags,OSM URL
Office: A/C standard,England SE and Central S,London,way,686442290,Rudolf Steiner House,flat,,667.5,building=office; office=charity,https://www.openstreetmap.org/way/686442290
Office: A/C standard,England SE and Central S,London,way,686524763,Boston Place Fertility,gambrel,,286.4,building=office; healthcare=clinic,https://www.openstreetmap.org/way/686524763
Office: A/C standard,England SE and Central S,London,way,686524764,Saudi Arabia Visa Office,gambrel,,215.5,building=office,https://www.openstreetmap.org/way/686524764
Office: A/C standard,England SE and Central S,London,way,686524765,Osteopathic Association Clinic,double_saltbox,,131.8,building=office; healthcare=clinic,https://www.openstreetmap.org/way/686524765
Office: A/C standard,England SE and Central S,London,way,693587551,Chestertons,flat,,122.2,building=retail; office=estate_agent,https://www.openstreetmap.org/way/693587551
Office: A/C standard,England SE and Central S,London,way,694353528,Storm Building,flat,,63.2,building=retail; office=architect,https://www.openstreetmap.org/way/694353528
Office: A/C standard,England SE and Central S,London,way,694353533,,flat,,2866.1,building=office,https://www.openstreetmap.org/way/694353533
Office: A/C standard,England SE and Central S,London,way,699064889,,flat,,396.3,building=office,https://www.openstreetmap.org/way/699064889
Office: A/C standard,England SE and Central S,London,way,705401023,Canary Wharf Management,flat,,428.4,building=office,https://www.openstreetmap.org/way/705401023
Office: A/C standard,England SE and Central S,London,way,705401024,,flat,,416.0,building=office,https://www.openstreetmap.org/way/705401024
Office: A/C standard,England SE and Central S,London,way,708076042,,flat,,863.2,building=office,https://www.openstreetmap.org/way/708076042
Office: A/C standard,England SE and Central S,London,way,742635807,,skillion,,1569.5,building=office,https://www.openstreetmap.org/way/742635807
Office: A/C standard,England SE and Central S,London,way,746140718,Greater World Spiritual Centre,mansard,,218.9,building=yes; office=religion,https://www.openstreetmap.org/way/746140718
Office: A/C standard,England SE and Central S,London,way,746140719,Marie Stopes International,mansard,,292.6,building=office; office=educational_institution,https://www.openstreetmap.org/way/746140719
Office: A/C standard,England SE and Central S,London,way,753788712,,flat,,809.5,building=office,https://www.openstreetmap.org/way/753788712
Office: A/C standard,England SE and Central S,London,way,763441975,Seven Fives,flat,,45.5,office=taxi,https://www.openstreetmap.org/way/763441975
Office: A/C standard,England SE and Central S,London,way,795870098,Paul May Fitness,double_saltbox,,65.1,building=office,https://www.openstreetmap.org/way/795870098
Office: A/C standard,England SE and Central S,London,way,797108336,,flat,,652.4,building=office,https://www.openstreetmap.org/way/797108336
Office: A/C standard,England SE and Central S,London,way,809433197,,hipped,,556.7,building=office,https://www.openstreetmap.org/way/809433197
Office: A/C standard,England SE and Central S,London,way,810617529,,flat,,487.1,building=office,https://www.openstreetmap.org/way/810617529
Office: A/C standard,England SE and Central S,London,way,810868185,,flat,,93.1,building=office,https://www.openstreetmap.org/way/810868185
Office: A/C standard,England SE and Central S,London,way,810868186,,flat,,24.3,building=office,https://www.openstreetmap.org/way/810868186
Office: A/C standard,England SE and Central S,London,way,810868187,,gabled,,42.4,building=office,https://www.openstreetmap.org/way/810868187
Office: A/C standard,England SE and Central S,London,way,820226621,,flat,,64.3,building=office,https://www.openstreetmap.org/way/820226621
Office: A/C standard,England SE and Central S,London,way,823172379,,gabled,,83.4,building=office,https://www.openstreetmap.org/way/823172379
Office: A/C standard,England SE and Central S,London,way,823172380,,gabled,,105.7,building=office,https://www.openstreetmap.org/way/823172380
Office: A/C standard,England SE and Central S,London,way,826256472,,gabled,,86.9,building=office,https://www.openstreetmap.org/way/826256472
Office: A/C standard,England SE and Central S,London,way,828245104,,many,,538.7,building=office,https://www.openstreetmap.org/way/828245104
Office: A/C standard,England SE and Central S,London,way,828975259,,flat,,130.7,building=office,https://www.openstreetmap.org/way/828975259
Office: A/C standard,England SE and Central S,London,way,829408490,,gabled,,33.8,building=office,https://www.openstreetmap.org/way/829408490
Office: A/C standard,England SE and Central S,London,way,830315445,Property King,flat,,57.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/830315445
Office: A/C standard,England SE and Central S,London,way,833168922,,gabled,,215.3,building=office,https://www.openstreetmap.org/way/833168922
Office: A/C standard,England SE and Central S,London,way,833168923,,hipped,,244.8,building=office,https://www.openstreetmap.org/way/833168923
Office: A/C standard,England SE and Central S,London,way,834826711,,flat,,659.0,building=office; office=coworking,https://www.openstreetmap.org/way/834826711
Office: A/C standard,England SE and Central S,London,way,843624427,,sawtooth,,514.9,building=office,https://www.openstreetmap.org/way/843624427
Office: A/C standard,England SE and Central S,London,way,844342851,,flat,,33.0,building=office,https://www.openstreetmap.org/way/844342851
Office: A/C standard,England SE and Central S,London,way,848965536,New Homerton Car Service,flat,,31.2,building=office,https://www.openstreetmap.org/way/848965536
Office: A/C standard,England SE and Central S,London,way,848965572,Wyke Estate Office,gabled,,145.8,building=office; office=property_management,https://www.openstreetmap.org/way/848965572
Office: A/C standard,England SE and Central S,London,way,851778184,Martino Denai,flat,,116.7,building=house; office=estate_agent,https://www.openstreetmap.org/way/851778184
Office: A/C standard,England SE and Central S,London,way,853331372,Imperial House,flat,,709.6,building=office,https://www.openstreetmap.org/way/853331372
Office: A/C standard,England SE and Central S,London,way,854086898,,flat,,11.4,building=office,https://www.openstreetmap.org/way/854086898
Office: A/C standard,England SE and Central S,London,way,856076972,Savoy Minicabs,flat,,27.0,building=house; office=taxi,https://www.openstreetmap.org/way/856076972
Office: A/C standard,England SE and Central S,London,way,868706034,,flat,,82.7,building=office,https://www.openstreetmap.org/way/868706034
Office: A/C standard,England SE and Central S,London,way,882116957,FullCycle,flat,,219.5,building=yes; office=association,https://www.openstreetmap.org/way/882116957
Office: A/C standard,England SE and Central S,London,way,911539932,Connor Prince,hipped,,96.9,building=house; office=estate_agent,https://www.openstreetmap.org/way/911539932
Office: A/C standard,England SE and Central S,London,way,912419578,,hipped,,441.2,building=office,https://www.openstreetmap.org/way/912419578
Office: A/C standard,England SE and Central S,London,way,917623411,Quality Solicitors Brett Holt,hipped,,50.5,building=house; office=lawyer,https://www.openstreetmap.org/way/917623411
Office: A/C standard,England SE and Central S,London,way,922113481,Hackney Quest,flat,,55.6,building=office; office=charity,https://www.openstreetmap.org/way/922113481
Office: A/C standard,England SE and Central S,London,way,936110753,,flat,,117.4,building=office,https://www.openstreetmap.org/way/936110753
Office: A/C standard,England SE and Central S,London,way,936110758,,flat,,88.8,building=office,https://www.openstreetmap.org/way/936110758
Office: A/C standard,England SE and Central S,London,way,936110759,,flat,,170.9,building=office,https://www.openstreetmap.org/way/936110759
Office: A/C standard,England SE and Central S,London,way,936110762,,flat,,268.9,building=office,https://www.openstreetmap.org/way/936110762
Office: A/C standard,England SE and Central S,London,way,936110766,,hipped,,692.9,building=office,https://www.openstreetmap.org/way/936110766
Office: A/C standard,England SE and Central S,London,way,939967785,,flat,,518.9,building=office,https://www.openstreetmap.org/way/939967785
Office: A/C standard,England SE and Central S,London,way,951404437,Richstone Properties,flat,,159.2,building=retail; office=estate_agent,https://www.openstreetmap.org/way/951404437
Office: A/C standard,England SE and Central S,London,way,961121843,Lidl UK Headquarters,flat,,4905.4,building=office,https://www.openstreetmap.org/way/961121843
Office: A/C standard,England SE and Central S,London,way,963318981,Mind,flat,,142.6,building=yes; office=ngo,https://www.openstreetmap.org/way/963318981
Office: A/C standard,England SE and Central S,London,way,963414472,Main Reception Office,gabled,,174.3,building=office,https://www.openstreetmap.org/way/963414472
Office: A/C standard,England SE and Central S,London,way,965398975,,hipped,,199.1,building=office,https://www.openstreetmap.org/way/965398975
Office: A/C standard,England SE and Central S,London,way,967982044,,flat,,61.5,building=retail; office=estate_agent,https://www.openstreetmap.org/way/967982044
Office: A/C standard,England SE and Central S,London,way,971012016,Wooden Horse,flat,,98.9,building=commercial; office=yes,https://www.openstreetmap.org/way/971012016
Office: A/C standard,England SE and Central S,London,way,974136631,Sheen Court Estate Office,flat,,94.8,building=office,https://www.openstreetmap.org/way/974136631
Office: A/C standard,England SE and Central S,London,way,988833861,,hipped,,291.5,building=office,https://www.openstreetmap.org/way/988833861
Office: A/C standard,England SE and Central S,London,way,996506248,,flat,,238.1,building=office,https://www.openstreetmap.org/way/996506248
Office: A/C standard,England SE and Central S,London,way,1001475340,LG Electronics U.K.,flat,,1465.7,building=commercial; office=company,https://www.openstreetmap.org/way/1001475340
Office: A/C standard,England SE and Central S,London,way,1002023571,,flat,,227.1,building=yes; office=yes,https://www.openstreetmap.org/way/1002023571
Office: A/C standard,England SE and Central S,London,way,1008069598,Mainyard Studios,gambrel,,187.3,building=yes; office=coworking,https://www.openstreetmap.org/way/1008069598
Office: A/C standard,England SE and Central S,London,way,1008677934,,butterfly,,251.2,building=office,https://www.openstreetmap.org/way/1008677934
Office: A/C standard,England SE and Central S,London,way,1009690285,,flat,,1837.6,building=office,https://www.openstreetmap.org/way/1009690285
Office: A/C standard,England SE and Central S,London,way,1013369112,Cuttle,gabled,,145.0,building=apartments; office=construction,https://www.openstreetmap.org/way/1013369112
Office: A/C standard,England SE and Central S,London,way,1036593843,,flat,,168.7,building=office,https://www.openstreetmap.org/way/1036593843
Office: A/C standard,England SE and Central S,London,way,1039207454,Meta,flat,,6785.4,building=office; office=it,https://www.openstreetmap.org/way/1039207454
Office: A/C standard,England SE and Central S,London,way,1046190324,Pentagon House,gabled,,380.8,building=office; office=yes,https://www.openstreetmap.org/way/1046190324
Office: A/C standard,England SE and Central S,London,way,1051523453,Harrods Village,round,,25.2,building=office; office=security,https://www.openstreetmap.org/way/1051523453
Office: A/C standard,England SE and Central S,London,way,1058015263,,gabled,,685.7,building=office,https://www.openstreetmap.org/way/1058015263
Office: A/C standard,England SE and Central S,London,way,1081599532,,flat,,1096.3,building=office,https://www.openstreetmap.org/way/1081599532
Office: A/C standard,England SE and Central S,London,way,1106082566,,quadruple_saltbox,,511.6,building=office,https://www.openstreetmap.org/way/1106082566
Office: A/C standard,England SE and Central S,London,way,1107830704,,flat,,277.7,building=office,https://www.openstreetmap.org/way/1107830704
Office: A/C standard,England SE and Central S,London,way,1107974278,,gabled,,67.1,building=office,https://www.openstreetmap.org/way/1107974278
Office: A/C standard,England SE and Central S,London,way,1108012183,,flat,,447.7,building=office,https://www.openstreetmap.org/way/1108012183
Office: A/C standard,England SE and Central S,London,way,1117244416,,hipped,,214.9,building=office,https://www.openstreetmap.org/way/1117244416
Office: A/C standard,England SE and Central S,London,way,1126536985,,flat,,58.7,building=office,https://www.openstreetmap.org/way/1126536985
Office: A/C standard,England SE and Central S,London,way,1131621542,BSW Heating,gabled,,656.4,building=yes; office=yes,https://www.openstreetmap.org/way/1131621542
Office: A/C standard,England SE and Central S,London,way,1135271179,,flat,,42.3,building=office,https://www.openstreetmap.org/way/1135271179
Office: A/C standard,England SE and Central S,London,way,1135272103,,flat,,100.8,building=office,https://www.openstreetmap.org/way/1135272103
Office: A/C standard,England SE and Central S,London,way,1166995026,,gabled,,18.6,building=commercial; office=taxi,https://www.openstreetmap.org/way/1166995026
Office: A/C standard,England SE and Central S,London,way,1167685788,,flat,,380.1,building=office,https://www.openstreetmap.org/way/1167685788
Office: A/C standard,England SE and Central S,London,way,1185924583,,flat,,108.8,building=yes; office=security,https://www.openstreetmap.org/way/1185924583
Office: A/C standard,England SE and Central S,London,way,1292791631,,flat,,215.3,building=office,https://www.openstreetmap.org/way/1292791631
Office: A/C standard,England SE and Central S,London,way,1312259005,Rainbow Reid,flat,,13.2,building=commercial; office=estate_agent,https://www.openstreetmap.org/way/1312259005
Office: A/C standard,England SE and Central S,London,way,1338281424,,hipped,,82.7,building=yes; office=yes,https://www.openstreetmap.org/way/1338281424
Office: A/C standard,England SE and Central S,London,way,1367401995,Renaissance Personnel,hipped,,63.1,building=house; office=employment_agency,https://www.openstreetmap.org/way/1367401995
Office: A/C standard,England SE and Central S,London,way,1392213558,,flat,,434.1,building=office,https://www.openstreetmap.org/way/1392213558
Office: A/C standard,England SE and Central S,London,way,1448303785,3 Queen Victoria Street,flat,,11110.8,building=commercial; office=company,https://www.openstreetmap.org/way/1448303785
Office: A/C standard,England SE and Central S,London,way,1450388660,O/I Design Studio,gabled,,19.2,building=yes; office=architect,https://www.openstreetmap.org/way/1450388660
Office: A/C standard,England SE and Central S,London,way,1450388666,Vantage Accident Management Group,gabled,,21.5,building=yes; office=yes,https://www.openstreetmap.org/way/1450388666
Office: A/C standard,England SE and Central S,London,way,1494047927,HomePro Roofing,flat,,48.5,building=office,https://www.openstreetmap.org/way/1494047927
Office: A/C standard,England SE and Central S,London,relation,2989465,,flat,,3462.8,building=office,https://www.openstreetmap.org/relation/2989465
Office: A/C standard,England SE and Central S,London,relation,5987602,Australian High Commission,quadruple_saltbox,,1984.4,building=public; office=diplomatic,https://www.openstreetmap.org/relation/5987602
Office: A/C standard,England SE and Central S,London,relation,8256823,,flat,,798.3,building=office; office=yes,https://www.openstreetmap.org/relation/8256823
Office: A/C standard,England SE and Central S,London,relation,11199935,London Stock Exchange,flat,,4853.6,building=commercial; amenity=stock_exchange; office=company,https://www.openstreetmap.org/relation/11199935
Office: A/C standard,England SE and Central S,London,relation,11307503,Weybridge Register Office,gabled,,410.1,building=yes; office=government,https://www.openstreetmap.org/relation/11307503
Office: A/C standard,England SE and Central S,London,relation,11314056,,flat,,1205.3,building=office,https://www.openstreetmap.org/relation/11314056
Office: A/C standard,England SE and Central S,London,relation,11314057,,flat,,1184.7,building=office,https://www.openstreetmap.org/relation/11314057
Office: A/C standard,England SE and Central S,London,relation,11940799,Chelsea Chambers,flat,,408.0,building=office,https://www.openstreetmap.org/relation/11940799
Office: A/C standard,England SE and Central S,London,relation,12183164,Rosenstiel's,double_saltbox,,156.3,building=yes; office=publisher,https://www.openstreetmap.org/relation/12183164
Office: A/C standard,England SW and S Wales,Exeter,way,26386716,Great Moor House,gabled,,5614.3,building=office,https://www.openstreetmap.org/way/26386716
Office: A/C standard,England SW and S Wales,Exeter,way,88511890,L H C Urban Design Ltd,pyramidal,,338.0,building=yes; office=yes,https://www.openstreetmap.org/way/88511890
Office: A/C standard,England SW and S Wales,Exeter,way,88511892,Kier,gabled,,606.8,building=yes; office=yes,https://www.openstreetmap.org/way/88511892
Office: A/C standard,England SW and S Wales,Exeter,way,97971491,First Databank,round,,620.4,building=yes; office=company,https://www.openstreetmap.org/way/97971491
Office: A/C standard,England SW and S Wales,Exeter,way,97971492,Connaught House,round,,606.4,building=yes; office=yes,https://www.openstreetmap.org/way/97971492
Office: A/C standard,England SW and S Wales,Exeter,way,97971493,Admiral House,round,,517.8,building=yes; office=yes,https://www.openstreetmap.org/way/97971493
Office: A/C standard,England SW and S Wales,Exeter,way,104709441,Woodwater House,flat,,1834.4,building=yes; office=yes,https://www.openstreetmap.org/way/104709441
Office: A/C standard,England SW and S Wales,Exeter,way,114939614,Pynes Hill House,hipped,,3430.3,building=yes; office=yes,https://www.openstreetmap.org/way/114939614
Office: A/C standard,England SW and S Wales,Exeter,way,116020320,EDF,flat,,2726.0,building=yes; office=energy_supplier,https://www.openstreetmap.org/way/116020320
Office: A/C standard,England SW and S Wales,Exeter,way,116020985,Ashfords LLP,round,,1601.6,building=yes; office=company,https://www.openstreetmap.org/way/116020985
Office: A/C standard,England SW and S Wales,Exeter,way,148804307,Lucombe House,hipped,,742.0,building=yes; office=government,https://www.openstreetmap.org/way/148804307
Office: A/C standard,England SW and S Wales,Exeter,way,155335091,Norman Rourke Pryme ltd,hipped,,143.8,building=yes; office=yes,https://www.openstreetmap.org/way/155335091
Office: A/C standard,England SW and S Wales,Exeter,way,155335092,Kendall Kingscott,hipped,,267.1,building=yes; office=architect,https://www.openstreetmap.org/way/155335092
Office: A/C standard,England SW and S Wales,Exeter,way,155335099,Hunter Stoves Limited,gabled,,1776.8,building=yes; office=yes,https://www.openstreetmap.org/way/155335099
Office: A/C standard,England SW and S Wales,Exeter,way,155335100,NFU Mutual,hipped,,139.4,building=yes; office=financial,https://www.openstreetmap.org/way/155335100
Office: A/C standard,England SW and S Wales,Exeter,way,155335103,Stratus House,flat,,960.1,building=yes; office=yes,https://www.openstreetmap.org/way/155335103
Office: A/C standard,England SW and S Wales,Exeter,way,155335104,ETS House,gabled,,334.6,building=yes; office=yes,https://www.openstreetmap.org/way/155335104
Office: A/C standard,England SW and S Wales,Exeter,way,155335106,Old Mill,hipped,,406.2,building=yes; office=accountant,https://www.openstreetmap.org/way/155335106
Office: A/C standard,England SW and S Wales,Exeter,way,155335107,Unison House,hipped,,423.8,building=office; office=union,https://www.openstreetmap.org/way/155335107
Office: A/C standard,England SW and S Wales,Exeter,way,155335109,Regus,gabled,,990.6,building=yes; office=coworking,https://www.openstreetmap.org/way/155335109
Office: A/C standard,England SW and S Wales,Exeter,way,155335110,CEDA,gabled,,447.6,building=yes; office=yes,https://www.openstreetmap.org/way/155335110
Office: A/C standard,England SW and S Wales,Exeter,way,155335114,RH Partners,hipped,,228.8,building=yes; office=yes,https://www.openstreetmap.org/way/155335114
Office: A/C standard,England SW and S Wales,Exeter,way,155335118,The Exeter,gabled,,618.1,building=yes; office=yes,https://www.openstreetmap.org/way/155335118
Office: A/C standard,England SW and S Wales,Exeter,way,164108716,AECOM,hipped,,868.4,building=yes; office=company,https://www.openstreetmap.org/way/164108716
Office: A/C standard,England SW and S Wales,Exeter,way,167401887,Winfields,gabled,,118.5,building=yes; office=estate_agent,https://www.openstreetmap.org/way/167401887
Office: A/C standard,England SW and S Wales,Exeter,way,170611063,,hipped,,858.4,building=yes; office=yes,https://www.openstreetmap.org/way/170611063
Office: A/C standard,England SW and S Wales,Exeter,way,170611065,Rosemoor Court,hipped,,688.8,building=yes; office=yes,https://www.openstreetmap.org/way/170611065
Office: A/C standard,England SW and S Wales,Exeter,way,170611067,Redrow House,hipped,,504.1,building=yes; office=yes,https://www.openstreetmap.org/way/170611067
Office: A/C standard,England SW and S Wales,Exeter,way,170611077,Aston House,hipped,,469.3,building=yes; office=yes,https://www.openstreetmap.org/way/170611077
Office: A/C standard,England SW and S Wales,Exeter,way,170611090,,hipped,,757.5,building=yes; office=yes,https://www.openstreetmap.org/way/170611090
Office: A/C standard,England SW and S Wales,Exeter,way,170611100,Hawkins House,hipped,,883.6,building=yes; office=yes,https://www.openstreetmap.org/way/170611100
Office: A/C standard,England SW and S Wales,Exeter,way,170611104,Oracle,hipped,,601.5,building=yes; office=yes,https://www.openstreetmap.org/way/170611104
Office: A/C standard,England SW and S Wales,Exeter,way,170611105,Agricultural House,hipped,,577.6,building=yes; office=yes,https://www.openstreetmap.org/way/170611105
Office: A/C standard,England SW and S Wales,Exeter,way,170611117,Emblem House,hipped,,556.8,building=yes; office=yes,https://www.openstreetmap.org/way/170611117
Office: A/C standard,England SW and S Wales,Exeter,way,183784919,Oxygen House,round,,1651.6,building=yes; office=company,https://www.openstreetmap.org/way/183784919
Office: A/C standard,England SW and S Wales,Exeter,way,417099040,Tourism House,hipped,,585.6,building=yes; office=yes,https://www.openstreetmap.org/way/417099040
Office: A/C standard,England SW and S Wales,Exeter,way,417099041,Maximus House,hipped,,417.2,building=yes; office=yes,https://www.openstreetmap.org/way/417099041
Office: A/C standard,England SW and S Wales,Exeter,way,431533349,Radiate Plumbing & Heating,gabled,,74.5,building=yes; office=yes,https://www.openstreetmap.org/way/431533349
Office: A/C standard,England SW and S Wales,Exeter,way,482390638,LV,round,,999.5,building=office,https://www.openstreetmap.org/way/482390638
Office: A/C standard,England SW and S Wales,Exeter,way,502072182,,gabled,,74.6,building=office,https://www.openstreetmap.org/way/502072182
Office: A/C standard,England SW and S Wales,Exeter,way,667227353,Premier financial planning,skillion,,66.7,office=financial_advisor,https://www.openstreetmap.org/way/667227353
Office: A/C standard,England SW and S Wales,Exeter,way,699369490,Met Office Collaboration Building,flat,,961.4,building=commercial; office=government,https://www.openstreetmap.org/way/699369490
Office: A/C standard,England SW and S Wales,Exeter,way,699369491,Met Office IT Hall 3,flat,,2062.4,building=commercial; office=government,https://www.openstreetmap.org/way/699369491
Office: A/C standard,England SW and S Wales,Exeter,way,866032997,Ada Lovelace Building,flat,,1064.7,building=office,https://www.openstreetmap.org/way/866032997
Office: A/C standard,England SW and S Wales,Exeter,way,965673668,,flat,,450.3,building=office,https://www.openstreetmap.org/way/965673668
Office: A/C standard,England SW and S Wales,Exeter,way,1141613019,Bellair House,hipped,,118.8,building=office; office=government,https://www.openstreetmap.org/way/1141613019
Office: A/C standard,England SW and S Wales,Exeter,way,1483835937,The Annex,hipped,,871.4,building=office; office=government,https://www.openstreetmap.org/way/1483835937
Office: A/C standard,England SW and S Wales,Exeter,way,1483843172,Main Building,hipped,,3904.4,building=office; office=government,https://www.openstreetmap.org/way/1483843172
Office: A/C standard,Midlands,Birmingham,way,31859286,Terrace Huts,flat,,1637.4,building=office,https://www.openstreetmap.org/way/31859286
Office: A/C standard,Midlands,Birmingham,way,77179357,Calthorpe Estates,gabled,,143.4,building=office,https://www.openstreetmap.org/way/77179357
Office: A/C standard,Midlands,Birmingham,way,88453812,,hipped,,337.4,building=office,https://www.openstreetmap.org/way/88453812
Office: A/C standard,Midlands,Birmingham,way,91528715,National Probation Service,flat,,417.0,building=office,https://www.openstreetmap.org/way/91528715
Office: A/C standard,Midlands,Birmingham,way,134773894,Bournville Village Trust HQ,gabled,,806.8,building=office,https://www.openstreetmap.org/way/134773894
Office: A/C standard,Midlands,Birmingham,way,1376194991,Beeches Road Community Enterprise Centre,gabled,,332.6,building=office,https://www.openstreetmap.org/way/1376194991
Office: A/C standard,Scotland E,Edinburgh,way,17689526,,flat,,7007.5,building=office,https://www.openstreetmap.org/way/17689526
Office: A/C standard,Scotland E,Edinburgh,way,30242790,,round,,360.3,building=office,https://www.openstreetmap.org/way/30242790
Office: A/C standard,Scotland E,Edinburgh,way,30242796,,round,,353.6,building=office,https://www.openstreetmap.org/way/30242796
Office: A/C standard,Scotland E,Edinburgh,way,31139135,South West Neighbourhood Office,round,,686.7,building=civic; office=yes,https://www.openstreetmap.org/way/31139135
Office: A/C standard,Scotland E,Edinburgh,way,51552713,Quayside Square,flat,,1001.7,building=office,https://www.openstreetmap.org/way/51552713
Office: A/C standard,Scotland E,Edinburgh,way,53348134,Kennedys Law LLP,flat,,250.1,building=office,https://www.openstreetmap.org/way/53348134
Office: A/C standard,Scotland E,Edinburgh,way,55473242,Copeland House,gabled,,329.7,building=detached; office=research,https://www.openstreetmap.org/way/55473242
Office: A/C standard,Scotland E,Edinburgh,way,55473249,Villas,quadruple_saltbox,,472.5,building=semidetached_house; office=research,https://www.openstreetmap.org/way/55473249
Office: A/C standard,Scotland E,Edinburgh,way,60688548,Ocean Point 1,flat,,886.5,building=office,https://www.openstreetmap.org/way/60688548
Office: A/C standard,Scotland E,Edinburgh,way,79689704,TechCube,flat,,313.9,building=office,https://www.openstreetmap.org/way/79689704
Office: A/C standard,Scotland E,Edinburgh,way,98286216,,flat,,733.0,building=office,https://www.openstreetmap.org/way/98286216
Office: A/C standard,Scotland E,Edinburgh,way,98286219,Scottish Wildlife Trust,quadruple_saltbox,,954.0,building=office,https://www.openstreetmap.org/way/98286219
Office: A/C standard,Scotland E,Edinburgh,way,123564635,,flat,,1297.7,building=office,https://www.openstreetmap.org/way/123564635
Office: A/C standard,Scotland E,Edinburgh,way,279541939,Lyon & Turnbull,hipped,,171.7,building=office,https://www.openstreetmap.org/way/279541939
Office: A/C standard,Scotland E,Edinburgh,way,301564430,,flat,,307.6,building=office,https://www.openstreetmap.org/way/301564430
Office: A/C standard,Scotland E,Edinburgh,way,396442674,1894 Building,hipped,,728.4,building=office; amenity=university,https://www.openstreetmap.org/way/396442674
Office: A/C standard,Scotland E,Edinburgh,way,810201012,,flat,,75.2,building=office,https://www.openstreetmap.org/way/810201012
Office: A/C standard,Scotland E,Edinburgh,way,926291411,,flat,,112.1,building=office,https://www.openstreetmap.org/way/926291411
Office: A/C standard,Scotland E,Edinburgh,way,1412158850,,flat,,10.5,building=house; office=yes,https://www.openstreetmap.org/way/1412158850
Office: A/C standard,Scotland E,Edinburgh,relation,6028459,Crawford Building,flat,,2444.4,building=university; office=research,https://www.openstreetmap.org/relation/6028459
Office: A/C standard,Scotland W,Glasgow,way,16193709,,pyramidal,,702.2,building=office,https://www.openstreetmap.org/way/16193709
Office: A/C standard,Scotland W,Glasgow,way,16193711,Blyth & Blyth,pyramidal,,698.5,building=office,https://www.openstreetmap.org/way/16193711
Office: A/C standard,Scotland W,Glasgow,way,25845210,South Rotunda,dome,,447.0,building=office,https://www.openstreetmap.org/way/25845210
Office: A/C standard,Scotland W,Glasgow,way,116739660,,flat,,1906.7,building=office,https://www.openstreetmap.org/way/116739660
Office: A/C standard,Scotland W,Glasgow,way,119504358,,flat,,272.5,building=office,https://www.openstreetmap.org/way/119504358
Office: A/C standard,Scotland W,Glasgow,way,119504369,,gabled,,435.8,building=office,https://www.openstreetmap.org/way/119504369
Office: A/C standard,Scotland W,Glasgow,way,132433837,Clyde House,gabled,,508.0,building=yes; office=yes,https://www.openstreetmap.org/way/132433837
Office: A/C standard,Scotland W,Glasgow,way,132433856,Kintyre House,hipped,,450.9,building=yes; office=yes,https://www.openstreetmap.org/way/132433856
Office: A/C standard,Scotland W,Glasgow,way,133868740,Four Winds Pavillion,gabled,,1106.1,building=industrial; office=yes,https://www.openstreetmap.org/way/133868740
Office: A/C standard,Scotland W,Glasgow,way,170485140,,hipped,,2026.4,building=office,https://www.openstreetmap.org/way/170485140
Office: A/C standard,Scotland W,Glasgow,way,175762406,,round,,1463.0,building=office,https://www.openstreetmap.org/way/175762406
Office: A/C standard,Scotland W,Glasgow,way,175762408,West of Scotland Signalling Centre,hipped,,1798.2,building=office,https://www.openstreetmap.org/way/175762408
Office: A/C standard,Scotland W,Glasgow,way,177583714,,hipped,,292.5,building=yes; office=yes,https://www.openstreetmap.org/way/177583714
Office: A/C standard,Scotland W,Glasgow,way,178994886,Canal House,hipped,,405.6,building=office,https://www.openstreetmap.org/way/178994886
Office: A/C standard,Scotland W,Glasgow,way,587581366,,gabled,,3628.9,building=office,https://www.openstreetmap.org/way/587581366
Office: A/C standard,Scotland W,Glasgow,way,749289000,JP Morgan Chase,flat,,2744.5,building=office,https://www.openstreetmap.org/way/749289000
Office: A/C standard,Scotland W,Glasgow,way,781626094,Jobcentre Plus,hipped,,1738.0,building=government; office=employment_agency,https://www.openstreetmap.org/way/781626094
Office: A/C standard,Scotland W,Glasgow,way,1212408532,,flat,,345.7,building=office,https://www.openstreetmap.org/way/1212408532
Office: A/C standard,Scotland W,Glasgow,way,1289001375,,flat,,147.5,building=office,https://www.openstreetmap.org/way/1289001375
Retail: Department store,East Anglia,Norwich,way,33424444,Aldiss,flat,,2942.4,building=retail; shop=furniture,https://www.openstreetmap.org/way/33424444
Retail: Department store,East Anglia,Norwich,way,33812011,Hughes,flat,,2172.1,building=retail; shop=electronics,https://www.openstreetmap.org/way/33812011
Retail: Department store,East Anglia,Norwich,way,108865948,Gourmet Burger Kitchen,flat,,173.9,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/108865948
Retail: Department store,East Anglia,Norwich,way,108866009,The Real Greek,flat,,264.8,building=retail; amenity=restaurant,https://www.openstreetmap.org/way/108866009
Retail: Department store,East Anglia,Norwich,way,114580056,Charles Tyrwhitt,flat,,265.6,building=retail; shop=clothes,https://www.openstreetmap.org/way/114580056
Retail: Department store,East Anglia,Norwich,way,119380489,P W Angling,gabled,,70.6,building=retail; shop=sports,https://www.openstreetmap.org/way/119380489
Retail: Department store,East Anglia,Norwich,way,119380492,Oasis Stores,gabled,,162.9,building=retail; shop=convenience,https://www.openstreetmap.org/way/119380492
Retail: Department store,East Anglia,Norwich,way,119380494,Blackbird,hipped,,84.3,building=retail; shop=tattoo,https://www.openstreetmap.org/way/119380494
