Activity Class,District,Representative Station,OSM Type,OSM ID,Building Name,Storeys,Type Tags,OSM URL
Office: A/C standard,England E and NE,Newcastle,way,145812857,,6.0,building=office; office=yes,https://www.openstreetmap.org/way/145812857
Office: A/C standard,England E and NE,Newcastle,way,751575461,Riga,6.0,building=yes; office=yes,https://www.openstreetmap.org/way/751575461
Office: A/C standard,England E and NE,Newcastle,way,483173069,Baltic Place,7.0,building=office,https://www.openstreetmap.org/way/483173069
Office: A/C standard,England E and NE,Newcastle,way,165741262,,8.0,building=office,https://www.openstreetmap.org/way/165741262
Office: A/C standard,England E and NE,Newcastle,way,165741263,The Gateshead Cheder Primary School,10.0,building=office; amenity=school,https://www.openstreetmap.org/way/165741263
Office: A/C standard,England E and NE,Newcastle,way,176949617,Wellbar Central,10.0,building=yes; office=yes,https://www.openstreetmap.org/way/176949617
Office: A/C standard,England E and NE,Newcastle,way,340277447,Partnership House,10.0,building=yes; office=yes,https://www.openstreetmap.org/way/340277447
Office: A/C standard,England NW and N Wales,Manchester,way,637188509,,0.75,building=office,https://www.openstreetmap.org/way/637188509
Office: A/C standard,England NW and N Wales,Manchester,way,205197201,,1.0,building=office,https://www.openstreetmap.org/way/205197201
Office: A/C standard,England NW and N Wales,Manchester,way,256506667,,1.0,building=office,https://www.openstreetmap.org/way/256506667
Office: A/C standard,England NW and N Wales,Manchester,way,276269682,,1.0,building=office,https://www.openstreetmap.org/way/276269682
Office: A/C standard,England NW and N Wales,Manchester,way,483240785,M19 Tires,1.0,building=yes; office=taxi; shop=tyres,https://www.openstreetmap.org/way/483240785
Office: A/C standard,England NW and N Wales,Manchester,way,911674111,,1.0,building=office,https://www.openstreetmap.org/way/911674111
Office: A/C standard,England NW and N Wales,Manchester,way,139469624,CDL Strata House,2.0,building=yes; office=it,https://www.openstreetmap.org/way/139469624
Office: A/C standard,England NW and N Wales,Manchester,way,147863063,,2.0,building=office,https://www.openstreetmap.org/way/147863063
Office: A/C standard,England NW and N Wales,Manchester,way,166407645,brand addition.,2.0,building=yes; office=yes,https://www.openstreetmap.org/way/166407645
Office: A/C standard,England NW and N Wales,Manchester,way,254769038,,2.0,building=office,https://www.openstreetmap.org/way/254769038
Office: A/C standard,England NW and N Wales,Manchester,way,255507419,,2.0,building=office,https://www.openstreetmap.org/way/255507419
Office: A/C standard,England NW and N Wales,Manchester,way,423385961,CDL Codeworks,2.0,building=commercial; office=it,https://www.openstreetmap.org/way/423385961
Office: A/C standard,England NW and N Wales,Manchester,way,450591310,Spectrum House,2.0,building=office,https://www.openstreetmap.org/way/450591310
Office: A/C standard,England NW and N Wales,Manchester,way,504638508,Longsight District Office,2.0,building=civic; office=government,https://www.openstreetmap.org/way/504638508
Office: A/C standard,England NW and N Wales,Manchester,way,799402435,,2.0,building=office,https://www.openstreetmap.org/way/799402435
Office: A/C standard,England NW and N Wales,Manchester,way,799402436,,2.0,building=office,https://www.openstreetmap.org/way/799402436
Office: A/C standard,England NW and N Wales,Manchester,way,799402437,,2.0,building=office,https://www.openstreetmap.org/way/799402437
Office: A/C standard,England NW and N Wales,Manchester,way,799402438,,2.0,building=office,https://www.openstreetmap.org/way/799402438
Office: A/C standard,England NW and N Wales,Manchester,way,799402439,,2.0,building=office,https://www.openstreetmap.org/way/799402439
Office: A/C standard,England NW and N Wales,Manchester,way,799402440,,2.0,building=office,https://www.openstreetmap.org/way/799402440
Office: A/C standard,England NW and N Wales,Manchester,way,799402441,,2.0,building=office,https://www.openstreetmap.org/way/799402441
Office: A/C standard,England NW and N Wales,Manchester,way,799402442,,2.0,building=office,https://www.openstreetmap.org/way/799402442
Office: A/C standard,England NW and N Wales,Manchester,way,799403260,,2.0,building=office,https://www.openstreetmap.org/way/799403260
Office: A/C standard,England NW and N Wales,Manchester,way,799403261,,2.0,building=office,https://www.openstreetmap.org/way/799403261
Office: A/C standard,England NW and N Wales,Manchester,way,799403262,,2.0,building=office,https://www.openstreetmap.org/way/799403262
Office: A/C standard,England NW and N Wales,Manchester,way,799403264,,2.0,building=office,https://www.openstreetmap.org/way/799403264
Office: A/C standard,England NW and N Wales,Manchester,way,799403265,,2.0,building=office,https://www.openstreetmap.org/way/799403265
Office: A/C standard,England NW and N Wales,Manchester,way,799403266,,2.0,building=office,https://www.openstreetmap.org/way/799403266
Office: A/C standard,England NW and N Wales,Manchester,way,799403267,,2.0,building=office,https://www.openstreetmap.org/way/799403267
Office: A/C standard,England NW and N Wales,Manchester,way,799404895,,2.0,building=office,https://www.openstreetmap.org/way/799404895
Office: A/C standard,England NW and N Wales,Manchester,way,799404896,,2.0,building=office,https://www.openstreetmap.org/way/799404896
Office: A/C standard,England NW and N Wales,Manchester,way,799404897,,2.0,building=office,https://www.openstreetmap.org/way/799404897
Office: A/C standard,England NW and N Wales,Manchester,way,799404898,,2.0,building=office,https://www.openstreetmap.org/way/799404898
Office: A/C standard,England NW and N Wales,Manchester,way,799404899,,2.0,building=office,https://www.openstreetmap.org/way/799404899
Office: A/C standard,England NW and N Wales,Manchester,way,799404900,,2.0,building=office,https://www.openstreetmap.org/way/799404900
Office: A/C standard,England NW and N Wales,Manchester,way,799404901,,2.0,building=office,https://www.openstreetmap.org/way/799404901
Office: A/C standard,England NW and N Wales,Manchester,way,799404902,,2.0,building=office,https://www.openstreetmap.org/way/799404902
Office: A/C standard,England NW and N Wales,Manchester,way,799404903,,2.0,building=office,https://www.openstreetmap.org/way/799404903
Office: A/C standard,England NW and N Wales,Manchester,way,799404904,,2.0,building=office,https://www.openstreetmap.org/way/799404904
Office: A/C standard,England NW and N Wales,Manchester,way,799404905,,2.0,building=office,https://www.openstreetmap.org/way/799404905
Office: A/C standard,England NW and N Wales,Manchester,way,799404906,,2.0,building=office,https://www.openstreetmap.org/way/799404906
Office: A/C standard,England NW and N Wales,Manchester,way,136853105,,3.0,building=office,https://www.openstreetmap.org/way/136853105
Office: A/C standard,England NW and N Wales,Manchester,way,136853117,Unite the Union,3.0,building=office,https://www.openstreetmap.org/way/136853117
Office: A/C standard,England NW and N Wales,Manchester,way,136853118,,3.0,building=office,https://www.openstreetmap.org/way/136853118
Office: A/C standard,England NW and N Wales,Manchester,way,136853130,Optimum House,3.0,building=office,https://www.openstreetmap.org/way/136853130
Office: A/C standard,England NW and N Wales,Manchester,way,143166148,Magnetic House,3.0,building=office,https://www.openstreetmap.org/way/143166148
Office: A/C standard,England NW and N Wales,Manchester,way,171607959,Johnson Controls,3.0,building=commercial; office=company,https://www.openstreetmap.org/way/171607959
Office: A/C standard,England NW and N Wales,Manchester,way,190109376,Northwood House,3.0,building=office,https://www.openstreetmap.org/way/190109376
Office: A/C standard,England NW and N Wales,Manchester,way,190109383,Westwood House,3.0,building=office,https://www.openstreetmap.org/way/190109383
Office: A/C standard,England NW and N Wales,Manchester,way,191005389,Laser House,3.0,building=office,https://www.openstreetmap.org/way/191005389
Office: A/C standard,England NW and N Wales,Manchester,way,204800352,Boatshed,3.0,building=office,https://www.openstreetmap.org/way/204800352
Office: A/C standard,England NW and N Wales,Manchester,way,204800353,,3.0,building=office,https://www.openstreetmap.org/way/204800353
Office: A/C standard,England NW and N Wales,Manchester,way,204804018,Hilti,3.0,building=office,https://www.openstreetmap.org/way/204804018
Office: A/C standard,England NW and N Wales,Manchester,way,205197165,The Manchester College,3.0,building=yes; office=educational_institution,https://www.openstreetmap.org/way/205197165
Office: A/C standard,England NW and N Wales,Manchester,way,242809527,,3.0,building=office,https://www.openstreetmap.org/way/242809527
Office: A/C standard,England NW and N Wales,Manchester,way,255507420,Southwood House,3.0,building=office,https://www.openstreetmap.org/way/255507420
Office: A/C standard,England NW and N Wales,Manchester,way,256067187,Building 6,3.0,building=office,https://www.openstreetmap.org/way/256067187
Office: A/C standard,England NW and N Wales,Manchester,way,298671452,Beever & Struthers,3.0,building=yes; office=accountant,https://www.openstreetmap.org/way/298671452
Office: A/C standard,England NW and N Wales,Manchester,way,298671453,Beever & Struthers,3.0,building=yes; office=accountant,https://www.openstreetmap.org/way/298671453
Office: A/C standard,England NW and N Wales,Manchester,way,450591306,Ocean House,3.0,building=office,https://www.openstreetmap.org/way/450591306
Office: A/C standard,England NW and N Wales,Manchester,way,450591307,Adamson House,3.0,building=office,https://www.openstreetmap.org/way/450591307
Office: A/C standard,England NW and N Wales,Manchester,way,615294296,,3.0,building=office,https://www.openstreetmap.org/way/615294296
Office: A/C standard,England NW and N Wales,Manchester,way,615294297,,3.0,building=office,https://www.openstreetmap.org/way/615294297
Office: A/C standard,England NW and N Wales,Manchester,way,624446052,Cresent House,3.0,building=office,https://www.openstreetmap.org/way/624446052
Office: A/C standard,England NW and N Wales,Manchester,way,624446053,Pioneer House,3.0,building=office,https://www.openstreetmap.org/way/624446053
Office: A/C standard,England NW and N Wales,Manchester,relation,12765327,Laser House,3.0,building=office,https://www.openstreetmap.org/relation/12765327
Office: A/C standard,England NW and N Wales,Manchester,way,60739445,,4.0,building=office,https://www.openstreetmap.org/way/60739445
Office: A/C standard,England NW and N Wales,Manchester,way,136104876,,4.0,building=office,https://www.openstreetmap.org/way/136104876
Office: A/C standard,England NW and N Wales,Manchester,way,136853133,The Junction,4.0,building=office,https://www.openstreetmap.org/way/136853133
Office: A/C standard,England NW and N Wales,Manchester,way,145005317,,4.0,building=office,https://www.openstreetmap.org/way/145005317
Office: A/C standard,England NW and N Wales,Manchester,way,188584859,,4.0,building=office,https://www.openstreetmap.org/way/188584859
Office: A/C standard,England NW and N Wales,Manchester,way,190109382,Prince William House,4.0,building=office,https://www.openstreetmap.org/way/190109382
Office: A/C standard,England NW and N Wales,Manchester,way,263219287,,4.0,building=office,https://www.openstreetmap.org/way/263219287
Office: A/C standard,England NW and N Wales,Manchester,way,353289878,,4.0,building=office,https://www.openstreetmap.org/way/353289878
Office: A/C standard,England NW and N Wales,Manchester,way,695872472,,4.0,building=yes; office=yes,https://www.openstreetmap.org/way/695872472
Office: A/C standard,England NW and N Wales,Manchester,relation,12765385,Magnetic House,4.0,building=office,https://www.openstreetmap.org/relation/12765385
Office: A/C standard,England NW and N Wales,Manchester,way,240371164,,4.5,building=office,https://www.openstreetmap.org/way/240371164
Office: A/C standard,England NW and N Wales,Manchester,way,30333665,Miller Street Tower,5.0,building=office,https://www.openstreetmap.org/way/30333665
Office: A/C standard,England NW and N Wales,Manchester,way,30342700,Mediacom,5.0,building=office; office=yes,https://www.openstreetmap.org/way/30342700
Office: A/C standard,England NW and N Wales,Manchester,way,65624073,USDAW,5.0,building=office; office=union,https://www.openstreetmap.org/way/65624073
Office: A/C standard,England NW and N Wales,Manchester,way,114298696,Amazon House,5.0,building=commercial; office=company,https://www.openstreetmap.org/way/114298696
Office: A/C standard,England NW and N Wales,Manchester,way,147864101,Soapworks,5.0,building=office,https://www.openstreetmap.org/way/147864101
Office: A/C standard,England NW and N Wales,Manchester,way,204256457,,5.0,building=office,https://www.openstreetmap.org/way/204256457
Office: A/C standard,England NW and N Wales,Manchester,way,248790777,,5.0,building=office,https://www.openstreetmap.org/way/248790777
Office: A/C standard,England NW and N Wales,Manchester,way,258777565,,5.0,building=office,https://www.openstreetmap.org/way/258777565
Office: A/C standard,England NW and N Wales,Manchester,way,353506641,,5.0,building=commercial; office=yes,https://www.openstreetmap.org/way/353506641
Office: A/C standard,England NW and N Wales,Manchester,relation,2574677,,5.0,building=yes; office=yes,https://www.openstreetmap.org/relation/2574677
Office: A/C standard,England NW and N Wales,Manchester,way,29449838,Castlefield House,6.0,building=office,https://www.openstreetmap.org/way/29449838
Office: A/C standard,England NW and N Wales,Manchester,way,30343014,4 Hardman Square,6.0,building=office,https://www.openstreetmap.org/way/30343014
Office: A/C standard,England NW and N Wales,Manchester,way,35277427,,6.0,building=office,https://www.openstreetmap.org/way/35277427
Office: A/C standard,England NW and N Wales,Manchester,way,35277574,,6.0,building=office,https://www.openstreetmap.org/way/35277574
Office: A/C standard,England NW and N Wales,Manchester,way,37138434,,6.0,building=office,https://www.openstreetmap.org/way/37138434
Office: A/C standard,England NW and N Wales,Manchester,way,126383070,,6.0,building=office,https://www.openstreetmap.org/way/126383070
Office: A/C standard,England NW and N Wales,Manchester,way,195773697,The Co-operative Bank,6.0,building=office; office=company,https://www.openstreetmap.org/way/195773697
Office: A/C standard,England NW and N Wales,Manchester,way,248991964,Revolution Manchester - Parsonage Gardens,6.0,building=yes; office=yes,https://www.openstreetmap.org/way/248991964
Office: A/C standard,England NW and N Wales,Manchester,way,256067186,Building 10,6.0,building=office,https://www.openstreetmap.org/way/256067186
Office: A/C standard,England NW and N Wales,Manchester,way,370404974,Petersgate House,6.0,building=office,https://www.openstreetmap.org/way/370404974
Office: A/C standard,England NW and N Wales,Manchester,way,670994113,,6.0,building=office,https://www.openstreetmap.org/way/670994113
Office: A/C standard,England NW and N Wales,Manchester,way,1258445486,3 Stockport Exchange,6.0,building=office,https://www.openstreetmap.org/way/1258445486
Office: A/C standard,England NW and N Wales,Manchester,way,30342727,,7.0,building=office,https://www.openstreetmap.org/way/30342727
Office: A/C standard,England NW and N Wales,Manchester,way,242810993,,7.0,building=office,https://www.openstreetmap.org/way/242810993
Office: A/C standard,England NW and N Wales,Manchester,way,296811235,Mauldeth House,7.0,building=office,https://www.openstreetmap.org/way/296811235
Office: A/C standard,England NW and N Wales,Manchester,way,1051911543,,7.0,building=office,https://www.openstreetmap.org/way/1051911543
Office: A/C standard,England NW and N Wales,Manchester,relation,12770515,,7.0,building=office,https://www.openstreetmap.org/relation/12770515
Office: A/C standard,England NW and N Wales,Manchester,way,29460591,,8.0,building=office,https://www.openstreetmap.org/way/29460591
Office: A/C standard,England NW and N Wales,Manchester,way,121702270,BBC,8.0,building=office; office=broadcaster,https://www.openstreetmap.org/way/121702270
Office: A/C standard,England NW and N Wales,Manchester,way,166407699,,8.0,building=office,https://www.openstreetmap.org/way/166407699
Office: A/C standard,England NW and N Wales,Manchester,way,204921682,,8.0,building=office,https://www.openstreetmap.org/way/204921682
Office: A/C standard,England NW and N Wales,Manchester,way,355195248,Transport for Greater Manchester,8.0,building=yes; office=government,https://www.openstreetmap.org/way/355195248
Office: A/C standard,England NW and N Wales,Manchester,way,431832637,No. 8 First Street,8.0,building=office,https://www.openstreetmap.org/way/431832637
Office: A/C standard,England NW and N Wales,Manchester,way,486081315,,8.0,building=office,https://www.openstreetmap.org/way/486081315
Office: A/C standard,England NW and N Wales,Manchester,way,600472799,Wellesley House,8.0,building=office,https://www.openstreetmap.org/way/600472799
Office: A/C standard,England NW and N Wales,Manchester,way,35278438,,9.0,building=office,https://www.openstreetmap.org/way/35278438
Office: A/C standard,England NW and N Wales,Manchester,way,101850716,3 Hardman Square,9.0,building=office,https://www.openstreetmap.org/way/101850716
Office: A/C standard,England NW and N Wales,Manchester,way,102044712,Natwest Group,9.0,building=office,https://www.openstreetmap.org/way/102044712
Office: A/C standard,England NW and N Wales,Manchester,way,226921667,ITV,9.0,building=office; amenity=studio; office=broadcaster,https://www.openstreetmap.org/way/226921667
Office: A/C standard,England NW and N Wales,Manchester,way,249112974,,9.0,building=office,https://www.openstreetmap.org/way/249112974
Office: A/C standard,England NW and N Wales,Manchester,way,486081311,BT : New Bailey,9.0,building=office,https://www.openstreetmap.org/way/486081311
Office: A/C standard,England NW and N Wales,Manchester,way,566711695,Beckwith House,9.0,building=office,https://www.openstreetmap.org/way/566711695
Office: A/C standard,England NW and N Wales,Manchester,way,670989585,,9.0,building=office,https://www.openstreetmap.org/way/670989585
Office: A/C standard,England NW and N Wales,Manchester,way,30342735,,10.0,building=office,https://www.openstreetmap.org/way/30342735
Office: A/C standard,England NW and N Wales,Manchester,way,30342798,,10.0,building=office,https://www.openstreetmap.org/way/30342798
Office: A/C standard,England NW and N Wales,Manchester,way,204800332,Building 2,10.0,building=office,https://www.openstreetmap.org/way/204800332
Office: A/C standard,England NW and N Wales,Manchester,way,387033351,Two St Peter's Square,10.0,building=office,https://www.openstreetmap.org/way/387033351
Office: A/C standard,England NW and N Wales,Manchester,way,35277659,,11.0,building=office,https://www.openstreetmap.org/way/35277659
Office: A/C standard,England NW and N Wales,Manchester,way,35278414,OneTwoFive Deansgate,11.0,building=office,https://www.openstreetmap.org/way/35278414
Office: A/C standard,England NW and N Wales,Manchester,way,242821397,Trinity Bridge House,11.0,building=yes; office=government,https://www.openstreetmap.org/way/242821397
Office: A/C standard,England NW and N Wales,Manchester,way,499233202,101 Embankment,11.0,building=office,https://www.openstreetmap.org/way/499233202
Office: A/C standard,England NW and N Wales,Manchester,way,256093314,,12.0,building=office,https://www.openstreetmap.org/way/256093314
Office: A/C standard,England NW and N Wales,Manchester,way,355195247,Orega Manchester Piccadilly,12.0,building=office; office=company,https://www.openstreetmap.org/way/355195247
Office: A/C standard,England NW and N Wales,Manchester,way,639819668,Landmark,13.0,building=office,https://www.openstreetmap.org/way/639819668
Office: A/C standard,England NW and N Wales,Manchester,way,1044172394,One New York Street,13.0,building=office,https://www.openstreetmap.org/way/1044172394
Office: A/C standard,England NW and N Wales,Manchester,way,204804022,Oakland House,14.0,building=office,https://www.openstreetmap.org/way/204804022
Office: A/C standard,England NW and N Wales,Manchester,relation,5291881,,14.0,building=office,https://www.openstreetmap.org/relation/5291881
Office: A/C standard,England NW and N Wales,Manchester,way,79872563,,15.0,building=office,https://www.openstreetmap.org/way/79872563
Office: A/C standard,England NW and N Wales,Manchester,way,143947389,One Angel Square,15.0,building=office,https://www.openstreetmap.org/way/143947389
Office: A/C standard,England NW and N Wales,Manchester,way,990174141,No.3 Circle Square,15.0,building=office,https://www.openstreetmap.org/way/990174141
Office: A/C standard,England NW and N Wales,Manchester,way,30333756,,18.0,building=office,https://www.openstreetmap.org/way/30333756
Office: A/C standard,England NW and N Wales,Manchester,way,188049290,,18.0,building=office,https://www.openstreetmap.org/way/188049290
Office: A/C standard,England NW and N Wales,Manchester,way,353267814,Arndale House,21.0,building=office,https://www.openstreetmap.org/way/353267814
Office: A/C standard,England NW and N Wales,Manchester,way,132090416,City Tower,22.25,building=office,https://www.openstreetmap.org/way/132090416
Office: A/C standard,England SE and Central S,London,way,32819777,Council Offices,1.0,building=yes; office=government,https://www.openstreetmap.org/way/32819777
Office: A/C standard,England SE and Central S,London,way,43082426,,1.0,building=office,https://www.openstreetmap.org/way/43082426
Office: A/C standard,England SE and Central S,London,way,44045950,LU General Office Building,1.0,building=office,https://www.openstreetmap.org/way/44045950
Office: A/C standard,England SE and Central S,London,way,81459295,Naismiths Limited,1.0,building=yes; office=company,https://www.openstreetmap.org/way/81459295
Office: A/C standard,England SE and Central S,London,way,90376720,Martin & Co,1.0,office=estate_agent,https://www.openstreetmap.org/way/90376720
Office: A/C standard,England SE and Central S,London,way,97638210,The Old Creche,1.0,building=yes; office=it,https://www.openstreetmap.org/way/97638210
Office: A/C standard,England SE and Central S,London,way,112554058,,1.0,building=office,https://www.openstreetmap.org/way/112554058
Office: A/C standard,England SE and Central S,London,way,125677875,Cazoo,1.0,building=warehouse; office=company,https://www.openstreetmap.org/way/125677875
Office: A/C standard,England SE and Central S,London,way,127345393,Park Headquarters,1.0,building=office,https://www.openstreetmap.org/way/127345393
Office: A/C standard,England SE and Central S,London,way,132953064,Estate Security Office,1.0,building=office,https://www.openstreetmap.org/way/132953064
Office: A/C standard,England SE and Central S,London,way,153640422,,1.0,building=office,https://www.openstreetmap.org/way/153640422
Office: A/C standard,England SE and Central S,London,way,160902692,,1.0,building=office,https://www.openstreetmap.org/way/160902692
Office: A/C standard,England SE and Central S,London,way,162966521,,1.0,building=office,https://www.openstreetmap.org/way/162966521
Office: A/C standard,England SE and Central S,London,way,182735906,Gate Lodge,1.0,building=office,https://www.openstreetmap.org/way/182735906
Office: A/C standard,England SE and Central S,London,way,183925024,,1.0,building=office,https://www.openstreetmap.org/way/183925024
Office: A/C standard,England SE and Central S,London,way,186635649,Hyde Park Learning Centre,1.0,building=office,https://www.openstreetmap.org/way/186635649
Office: A/C standard,England SE and Central S,London,way,194212865,Winkworth,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/194212865
Office: A/C standard,England SE and Central S,London,way,203711134,,1.0,building=office,https://www.openstreetmap.org/way/203711134
Office: A/C standard,England SE and Central S,London,way,225785389,Sam Cain,1.0,building=commercial; office=estate_agent,https://www.openstreetmap.org/way/225785389
Office: A/C standard,England SE and Central S,London,way,226373597,De-Charles Resources Ltd,1.0,building=yes; office=yes,https://www.openstreetmap.org/way/226373597
Office: A/C standard,England SE and Central S,London,way,226398247,Palawan Press,1.0,building=yes; office=yes,https://www.openstreetmap.org/way/226398247
Office: A/C standard,England SE and Central S,London,way,233752955,,1.0,building=office,https://www.openstreetmap.org/way/233752955
Office: A/C standard,England SE and Central S,London,way,233902778,Francis Holland School,1.0,building=office,https://www.openstreetmap.org/way/233902778
Office: A/C standard,England SE and Central S,London,way,237313525,Pickering Mortgage Services,1.0,building=yes; office=mortgage,https://www.openstreetmap.org/way/237313525
Office: A/C standard,England SE and Central S,London,way,243638191,Allan Howard & Co,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/243638191
Office: A/C standard,England SE and Central S,London,way,251032187,"Pads, Paws & Claws",1.0,building=commercial; office=taxi; shop=pet_grooming,https://www.openstreetmap.org/way/251032187
Office: A/C standard,England SE and Central S,London,way,270190583,Ellingham Employment Services,1.0,building=office; amenity=social_facility; office=employment_agency,https://www.openstreetmap.org/way/270190583
Office: A/C standard,England SE and Central S,London,way,304102026,Phillip Leigh,1.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/304102026
Office: A/C standard,England SE and Central S,London,way,337134176,John Joseph,1.0,office=estate_agent,https://www.openstreetmap.org/way/337134176
Office: A/C standard,England SE and Central S,London,way,346063226,,1.0,building=commercial; office=yes,https://www.openstreetmap.org/way/346063226
Office: A/C standard,England SE and Central S,London,way,357561866,Andrew & Co Accountants,1.0,building=yes; office=accountant,https://www.openstreetmap.org/way/357561866
Office: A/C standard,England SE and Central S,London,way,357561869,Emre Zere & Co,1.0,building=yes; office=accountant,https://www.openstreetmap.org/way/357561869
Office: A/C standard,England SE and Central S,London,way,365883963,Browncross Healthcare Ltd,1.0,office=agency,https://www.openstreetmap.org/way/365883963
Office: A/C standard,England SE and Central S,London,way,366327374,,1.0,building=office,https://www.openstreetmap.org/way/366327374
Office: A/C standard,England SE and Central S,London,way,375848078,,1.0,building=office,https://www.openstreetmap.org/way/375848078
Office: A/C standard,England SE and Central S,London,way,379967720,Knight Frank,1.0,building=commercial; office=estate_agent,https://www.openstreetmap.org/way/379967720
Office: A/C standard,England SE and Central S,London,way,380165967,The Garden Classroom,1.0,building=yes; office=charity,https://www.openstreetmap.org/way/380165967
Office: A/C standard,England SE and Central S,London,way,380605747,Waterloo Cars,1.0,building=yes; amenity=taxi; office=taxi; shop=taxi,https://www.openstreetmap.org/way/380605747
Office: A/C standard,England SE and Central S,London,way,380970471,,1.0,building=office,https://www.openstreetmap.org/way/380970471
Office: A/C standard,England SE and Central S,London,way,397805128,Wates,1.0,building=yes; office=company,https://www.openstreetmap.org/way/397805128
Office: A/C standard,England SE and Central S,London,way,431580969,Global Office Supplies,1.0,building=yes; office=company,https://www.openstreetmap.org/way/431580969
Office: A/C standard,England SE and Central S,London,way,431995345,Lululemon,1.0,building=office; shop=clothes,https://www.openstreetmap.org/way/431995345
Office: A/C standard,England SE and Central S,London,way,432890732,Harris Jones,1.0,building=yes; office=employment_agency,https://www.openstreetmap.org/way/432890732
Office: A/C standard,England SE and Central S,London,way,432916774,Major Son & Phipps,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/432916774
Office: A/C standard,England SE and Central S,London,way,437775077,Druce,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/437775077
Office: A/C standard,England SE and Central S,London,way,441808874,Chancellors,1.0,building=commercial; office=estate_agent,https://www.openstreetmap.org/way/441808874
Office: A/C standard,England SE and Central S,London,way,458856239,Culus Architects,1.0,building=commercial; office=architect,https://www.openstreetmap.org/way/458856239
Office: A/C standard,England SE and Central S,London,way,459667036,Stuart Mackenzie,1.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/459667036
Office: A/C standard,England SE and Central S,London,way,465203428,Shard Assets,1.0,office=estate_agent,https://www.openstreetmap.org/way/465203428
Office: A/C standard,England SE and Central S,London,way,465203433,Nüman,1.0,office=estate_agent,https://www.openstreetmap.org/way/465203433
Office: A/C standard,England SE and Central S,London,way,473654313,Luxury Properties,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/473654313
Office: A/C standard,England SE and Central S,London,way,479471018,Kudos,1.0,building=yes; office=architect,https://www.openstreetmap.org/way/479471018
Office: A/C standard,England SE and Central S,London,way,492102752,Barbara Gibson,1.0,building=office; office=estate_agent,https://www.openstreetmap.org/way/492102752
Office: A/C standard,England SE and Central S,London,way,507990454,Refrigeration Spares ltd,1.0,building=yes; office=yes,https://www.openstreetmap.org/way/507990454
Office: A/C standard,England SE and Central S,London,way,508136351,Park Superintendent's Office,1.0,building=yes; office=property_management,https://www.openstreetmap.org/way/508136351
Office: A/C standard,England SE and Central S,London,way,511451740,Birchills,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/511451740
Office: A/C standard,England SE and Central S,London,way,549621183,,1.0,building=office,https://www.openstreetmap.org/way/549621183
Office: A/C standard,England SE and Central S,London,way,576905905,Park Manager's Office,1.0,building=yes; office=yes,https://www.openstreetmap.org/way/576905905
Office: A/C standard,England SE and Central S,London,way,588371842,Choice Estates,1.0,building=yes; office=estate_agent,https://www.openstreetmap.org/way/588371842
Office: A/C standard,England SE and Central S,London,way,589059086,Defank Solicitors,1.0,building=yes; office=lawyer,https://www.openstreetmap.org/way/589059086
Office: A/C standard,England SE and Central S,London,way,598181048,James Anderson Lettings,1.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/598181048
Office: A/C standard,England SE and Central S,London,way,598181049,James Anderson Sales,1.0,building=retail; office=estate_agent,https://www.openstreetmap.org/way/598181049
Office: A/C standard,England SE and Central S,London,way,610172801,Park & Bailey,1.0,office=estate_agent,https://www.openstreetmap.org/way/610172801
Office: A/C standard,England SE and Central S,London,way,610172802,Whichers IFA Ltd,1.0,office=financial_advisor,https://www.openstreetmap.org/way/610172802
Office: A/C standard,England SE and Central S,London,way,610269861,Coulsdon Cars,1.0,building=office; amenity=taxi,https://www.openstreetmap.org/way/610269861
Office: A/C standard,England SE and Central S,London,way,612289305,MySouthwark Homeowners,1.0,office=government,https://www.openstreetmap.org/way/612289305
Office: A/C standard,England SE and Central S,London,way,612289308,Homewood Group,1.0,office=yes,https://www.openstreetmap.org/way/612289308
Office: A/C standard,England SE and Central S,London,way,617083061,Units 70-97,1.0,building=office,https://www.openstreetmap.org/way/617083061
Office: A/C standard,England SE and Central S,London,way,617083062,Units 44-69,1.0,building=office,https://www.openstreetmap.org/way/617083062
Office: A/C standard,England SE and Central S,London,way,617083063,Units 34-43,1.0,building=office,https://www.openstreetmap.org/way/617083063
Office: A/C standard,England SE and Central S,London,way,617505282,Estate Office,1.0,building=yes; office=property_maintenance,https://www.openstreetmap.org/way/617505282
Office: A/C standard,England SE and Central S,London,way,621310265,Rainbow Guarding,1.0,building=yes; office=security,https://www.openstreetmap.org/way/621310265
Office: A/C standard,England SE and Central S,London,way,622097766,,1.0,building=office,https://www.openstreetmap.org/way/622097766
Office: A/C standard,England SE and Central S,London,way,637945481,,1.0,building=office,https://www.openstreetmap.org/way/637945481
Office: A/C standard,England SE and Central S,London,way,638284706,John Brown Mark Youll,1.0,building=office; office=estate_agent,https://www.openstreetmap.org/way/638284706
Office: A/C standard,England SE and Central S,London,way,643931236,,1.0,building=office,https://www.openstreetmap.org/way/643931236
